output,input,instruction
Feasibility of a Health Coaching and Home-Based Rehabilitation Intervention With Remote Monitoring for COPD,"BACKGROUND: Pulmonary rehabilitation is an effective treatment for patients with COPD, but patient uptake and adherence to the current offering of center-based pulmonary rehabilitation is modest due to transportation, access, poverty, and frailty, and even more so in the context of the COVID pandemic. Home-based options have been proposed and were found noninferior to center-based rehabilitation; however, there is a lack of home-based programs, and more understanding is needed. We aimed to test the feasibility, uptake, and adherence to a home-based program for COPD rehabilitation with health coaching. METHODS: We conducted a randomized trial with a wait-list controlled design to evaluate the effects of a home-based program with health coaching on breathlessness in subjects with moderate to severe COPD unable to attend the regular pulmonary rehabilitation program. The 8-week intervention consisted of video-guided exercises to be done 6 times a week and captured with a computer tablet. Health coaching was done weekly over the telephone to review subject activity and symptoms and to provide an opportunity for the subject to define their weekly goals. The primary outcomes were uptake, adherence, and Chronic Respiratory Questionnaire (CRQ) Dyspnea Domain. Secondary outcomes were self-management abilities and CRQ Emotions-Mastery-Fatigue. RESULTS: 154 subjects with moderate to severe COPD were randomized. Subject adherence was 86% to the proposed 6-times a week exercise routine. There (P = .062) was no significant difference in breathlessness (CRQ dyspnea). There was a significant improvement in self-management abilities (P < .001). The results of the qualitative interviews showed high levels of acceptability of the program. CONCLUSIONS: The tested home-based rehabilitation program with health coaching was feasible, highly acceptable, showed a high degree of adherence, and improved self-management abilities. This study offers seminal information for home-based rehabilitation programs to design alternative options of rehabilitation to individuals with COPD that cannot attend to the well-established center-based pulmonary rehabilitation. (ClinicalTrials.gov registration NCT02557178.).",Please summerize the given abstract to a title
Lymphangiosarcoma in two cats,"Lymphangiosarcoma is a malignant neoplasm of the lymphatic endothelium that is rare in cats. This report describes two cases of feline lymphangiosarcoma that originated in the distal limb, causing intractable lymphoedema and serosanguineous discharge with ecchymoses in local and distant sites. In association with the neoplasia, one cat had cortical bone lysis of multiple metacarpal bones of the affected limb and the other had severe immune-mediated haemolytic anaemia (IMHA). The disease in both cases affected young cats and progressed rapidly. Persistent distal limb lymphoedema with serosanguineous discharge is suggestive of lymphangiosarcoma especially when local or distal ecchymoses are evident.",Please summerize the given abstract to a title
Effective protection of ZF2001 against the SARS-CoV-2 Delta variant in lethal K18-hACE2 mice,"To investigate the protective efficacy and mechanism of ZF2001 (a protein subunit vaccine with conditional approval in China) to SARS-CoV-2 Delta variant-induced severe pneumonia, the lethal challenge model of K18-hACE2 transgenic mice was used in this study. An inactivated-virus vaccine at the research and development stage (abbreviated as RDINA) was compared to ZF2001. We found that ZF2001 and RDINA could provide the protective effect against Delta variant-induced severe cases, as measured by the improved survival rates, the reduced virus loads, the alleviated lung histopathology and the high neutralizing antibody geomean titers, compared to aluminum adjuvant group. To prevent and control Omicron or other variant epidemics, further improvements in vaccine design and compatibilities with the novel adjuvant are required to achieve better immunogenicity. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s12985-022-01818-x.",Please summerize the given abstract to a title
"On Occasion of the 31(st) Medical Informatics in Europe (MIE) Conference - “Public Health and Informatics“, Athens, Greece, May 29(th)-31(st), 2021","COVID-19 pandemic asks the engagement of all experts in different medical fields to help in solving consequences such an overwhelming success that we follow it with COVID-19 Management, including Medical Informatics experts.",Please summerize the given abstract to a title
Strategies for Optimizing the Supply of N95 Filtering Facepiece Respirators During the Coronavirus Disease 2019 (COVID-19) Pandemic,"N95 respirators are personal protective equipment most often used to control exposures to infections transmitted via the airborne route. Supplies of N95 respirators can become depleted during pandemics or when otherwise in high demand. In this paper, we offer strategies for optimizing supplies of N95 respirators in health care settings while maximizing the level of protection offered to health care personnel when there is limited supply in the United States during the 2019 coronavirus disease pandemic. The strategies are intended for use by professionals who manage respiratory protection programs, occupational health services, and infection prevention programs in health care facilities to protect health care personnel from job-related risks of exposure to infectious respiratory illnesses. Consultation with federal, state, and local public health officials is also important. We use the framework of surge capacity and the occupational health and safety hierarchy of controls approach to discuss specific engineering control, administrative control, and personal protective equipment measures that may help in optimizing N95 respirator supplies.",Please summerize the given abstract to a title
MICROVASCULAR ENDOTHELIAL CELL ADAPTATION TO HYPOXIA IS ORGAN-SPECIFIC AND CONDITIONED BY ENVIRONMENTAL OXYGEN,"Microvascular endothelial cells (MVEC) are plastic, versatile and highly responsive cells, with morphological and functional aspects that uniquely match the tissues they supply. The response of these cells to oxygen oscillations is an essential aspect of tissue homeostasis, and is finely tuned to maintain organ function during physiological and metabolic challenges. Primary MVEC from two continuous capillary networks with distinct organ microenvironments, those of the lung and brain, were pre-conditioned at normal atmospheric (∼ 21 %) and physiological (5 and 10 %) O2 levels, and subsequently used to compare organ-specific MVEC hypoxia response. Brain MVEC preferentially stabilise HIF-2α in response to hypoxia, whereas lung MVEC primarily accumulate HIF-1α; however, this does not result in significant differences at the level of transcriptional activation of hypoxia-induced genes. Glycolytic activity is comparable between brain and lung endothelial cells, and is affected by oxygen pre-conditioning, while glucose uptake is not changed by oxygen pre-conditioning and is observed to be consistently higher in brain MVEC. Conversely, MVEC mitochondrial activity is organ-specific; brain MVEC maintain a higher relative mitochondrial spare capacity at 5% O2, but not following hyperoxic priming. If maintained at supra-physiological O2 levels, both MVEC fail to respond to hypoxia, and have severely compromised and delayed induction of the glycolytic shifts required for survival, an effect which is particularly pronounced in brain MVEC. Oxygen preconditioning also differentially shapes the composition of the mitochondrial electron transport chain (ETC) in the two MVEC populations. Lung MVEC primed at physioxia have lower levels of all ETC complexes compared to hyperoxia, an effect exacerbated by hypoxia. Conversely, brain MVEC expanded in physioxia display increased complex II (SDH) activity, which is further augmented during hypoxia. SDH activity in brain MVEC primed at 21 % O2 is ablated; upon hypoxia, this results in the accumulation of near-toxic levels of succinate in these cells. Our data suggests that, even though MVEC are primarily glycolytic, mitochondrial integrity in brain MVEC is essential for metabolic responses to hypoxia; these responses are compromised when cells are exposed to supra-physiological levels of oxygen. This work demonstrates that the study of MVEC in normal cell culture environments do not adequately represent physiological parameters found in situ, and show that the unique metabolism and function of organ-specific MVEC can be reprogrammed by external oxygen, significantly affecting the timing and degree of downstream responses. Graphical Abstract In brief Hypoxia sensing by microvascular endothelial cells (MVEC) is organ-specific, and efficacy of response is affected by external oxygen. While glycolytic capacity is mostly maintained in MVEC regardless of organ or origin, mitochondrial function is required for adequate sensing and timely metabolic shift to glycolysis. Hyperoxygenation of MVEC compromises mitochondrial function, glycolytic shift and survival to hypoxia. Highlights Environmental O2 influences MVEC hypoxia response in an organ-specific fashion Brain MVEC are unable to respond and survive to hypoxia if hyperoxygenated prior to stress MVEC glycolytic capacity is not affected by O2, but the increase in glucose uptake and shift to glycolytic metabolism stifled and delayed in hyperoxidized MVEC High O2 ablates activity of mitochondria complex II in brain MVEC, significantly disturbing succinate levels Disruption of mitochondrial integrity compromises hypoxia sensing irrespective of glycolytic capacity",Please summerize the given abstract to a title
Analyzing the Characteristics of Green Bond Markets to Facilitate Green Finance in the Post-COVID-19 World,"The COVID-19 pandemic and the global recessions have reduced the investments in green projects globally that would endanger the achievement of the climate-related goals Therefore, the post-COVID-19 world needs to adopt the green financial system by introducing new financial instruments In this regard, green bonds—a type of debt instrument aiming to finance sustainable infrastructure projects—are growing in popularity While the literature does not contest their effectiveness in fighting climate change, research highlights the high level of risks and low returns associated with this instrument This study analyzes the green bond markets in different regions with a focus on Asia and the Pacific It aims to fill the gap in the literature by conducting a comparative study of the characteristics, risks, and returns of green bonds based on the region The study is based on theoretical background and empirical analysis using the data retrieved from Bloomberg New Energy Finance and the Climate Bonds Initiative The empirical results are based on several econometrics tests using panel data analysis estimation methods, namely pooled ordinary least squares and generalized least squares random effects estimator Our findings prove that green bonds in Asia tend to show higher returns but higher risks and higher heterogeneity Generally, the Asian green bonds market is dominated by the banking sector, representing 60% of all issuance Given that bonds issued by this sector tend to show lower returns than average, we recommend policies that could increase the rate of return of bonds issued by the banking sector through the use of tax spillover In the era of post-COVID-19, diversification of issuers, with higher participation from the public sector and de-risking policies, could also be considered",Please summerize the given abstract to a title
"Clinical characteristics and mortality associated with COVID-19 at high altitude: a cohort of 5161 patients in Bogotá, Colombia","BACKGROUND: There are few data on the clinical outcomes of patients with coronavirus disease 2019 (COVID-19) in cities over 1000 m above sea level (masl). OBJECTIVES: To describe the clinical characteristics and mortality of patients with COVID-19 treated at a high complexity hospital in Bogotá, Colombia, at 2640 masl. METHODS: This was an observational study of a cohort including 5161 patients with confirmed COVID-19 infection from 19 March 2020 to 30 April 2021. Demographic data, laboratory values, comorbidities, oxygenation indices, and clinical outcomes were collected. Data were compared between survivors and nonsurvivors. An independent predictive model was performed for mortality and invasive mechanical ventilation (IMV) using classification and regression trees (CART). RESULTS: The median cohort age was 66 years (interquartile range (IQR) 53–77), with 1305 patients dying (25%) and 3856 surviving (75%). The intensive care unit (ICU) received 1223 patients (24%). Of 898 patients who received IMV, 613 (68%) of them perished. The ratio of partial pressure arterial oxygen (PaO(2)) to fraction inspired oxygen (FiO(2)), or the P/F ratio, upon ICU admission was 105 (IQR 77–146) and 137 (IQR 91–199) in the deceased and survivors, respectively. The CART model showed that the need for IMV, age greater than 79 years, ratio of oxygen saturation (SaO(2)) to FiO(2), or the S/F ratio, less than 259, and lactate dehydrogenase (LDH) greater than 617 U/L at admission were associated with a greater probability of death. CONCLUSION: Among more than 5000 patients with COVID-19 treated in our hospital, mortality at hospital discharge was 25%. Older age, low S/F ratio, and high LDH at admission were predictors of mortality.",Please summerize the given abstract to a title
Statistical modeling of the novel COVID-19 epidemic in Iraq,"This study aimed to apply three of the most important nonlinear growth models (Gompertz, Richards, and Weibull) to study the daily cumulative number of COVID-19 cases in Iraq during the period from 13th of March, 2020 to 22nd of July, 2020.Using the nonlinear least squares method, the three growth models were estimated in addition to calculating some related measures in this study using the “nonlinear regression” tool available in Minitab-17, and the initial values of the parameters were deduced from the transformation to the simple linear regression equation. Comparison of these models was made using some statistics (F-test, AIC, BIC, AICc and WIC).The results indicate that the Weibull model is the best adequate model for studying the cumulative daily number of COVID-19 cases in Iraq according to some criteria such as having the highest F and lowest values for RMSE, bias, MAE, AIC, BIC, AICc and WIC with no any violations of the assumptions for the model’s residuals (independent, normal distribution and homogeneity variance). The overall model test and tests of the estimated parameters showed that the Weibull model was statistically significant for describing the study data.From the Weibull model predictions, the number of cumulative confirmed cases of novel coronavirus in Iraq will increase by a range of 101,396 (95% PI: 99,989 to 102,923) to 114,907 (95% PI: 112,251 to 117,566) in the next 24 days (23rd of July to 15th of August 15, 2020). From the inflection points in the Weibull curve, the peak date when the growth rate will be maximum, is 7th of July, 2020, and at this time the daily cumulative cases become 67,338. Using the nonlinear least squares method, the models were estimated and some related measures were calculated in this study using the “nonlinear regression” tool available in Minitab-17, and the initial values of the parameters were obtained from the transformation to the simple linear regression model.",Please summerize the given abstract to a title
A single- center experience of prolactin-producing pituitary adenomas without hyperprolactinemia: Its incidence and clinical management.,"OBJECTIVE This study clarifies the incidence of prolactin-producing pituitary adenomas without hyperprolactinemia and determines the appropriate treatment strategy for these tumors. PATIENTS AND METHODS This retrospective analysis focused on prolactin-producing adenomas without hyperprolactinemia, which were initially treated by surgery as nonfunctioning pituitary adenomas. Among 942 patients with histologically confirmed pituitary adenoma, 114 (12.1 %) patients, consisting of 68 men and 46 women, who had prolactin-producing adenomas without hyperprolactinemia were identified between April 2005 and March 2019. RESULTS Of the 114 patients identified, 13 (11.4 %) had prolactin mono-expressions, 18 (15.8 %) had pit-1 lineage hormonal expressions, and 83 (72.8 %) had paradoxical immunoexpression out of the pituitary differentiation lineage, including prolactin. During the follow-up period, 19 patients suffered tumor progression, and 14 required salvage treatment. Of the 19 patients, 11 underwent gamma knife radiosurgery, and none of them experienced further tumor progression. Cabergoline was administered of them to six patients, and one achieved tumor shrinkage. However, the remaining five patients who were treated with cabergoline suffered further tumor progression and required another salvage treatment. Among the patients in the prolactin mono-expression group, one experienced tumor regrowth and underwent gamma knife radiosurgery. In the pit-1 lineage group, two patients experienced tumor regrowth. One had further tumor progression after treatment with cabergoline and underwent gamma knife radiosurgery. Among the patients in the paradoxical immunoexpression group, 16 suffered tumor progression. Four patients underwent further surgery, seven patients were treated with gamma knife radiosurgery, and one patient received fractionated irradiation. None of the eight patients who were treated with gamma knife radiosurgery and fractionated irradiation showed further tumor progression. Four patients in this group were treated with cabergoline, but they all suffered further tumor progression and underwent additional salvage treatments. CONCLUSIONS Out of the pituitary differentiation lineage, paradoxical hormonal expression occurred in three-quarters of the patients identified. Further surgery or gamma knife radiosurgery should be given priority in times of tumor progression because most patients were resistant to dopamine agonists.",Please summerize the given abstract to a title
Changes in emergency patient presentation to a maxillofacial surgery department during the COVID-19 pandemic,"PURPOSE: To examine possible changes in the emergency patient volume and reasons for presentation to an oral and maxillofacial surgery department during the coronavirus disease 2019 (COVID-19) pandemic and the resulting contact prohibitions. We hypothesized that the pandemic would lead to fewer patients presenting with emergent conditions. METHODS: A total of 939 patients, who presented to the Department for Oral and Maxillofacial Surgery of Hannover Medical School during the first 4 weeks of contact prohibitions in Germany, starting from March 23, 2020 until April 19, 2020, and in comparable periods were examined. The number of patients, reason for presentation, and required treatments were documented and compared to the years 2018 and 2019. Special attention was paid to the changes in trauma cases. RESULTS: We found that the number of patients in 2020 was significantly lower (p((2019)) < 0.001, p((2018)) < 0.01), but sex and age distributions were comparable to those in the previous years. Both the absolute and relative frequencies of dental diagnoses were significantly lower in 2020 (p((2019)) < 0.001, p((2018)) < 0.001), while the proportion of patients who presented with trauma was significantly higher (p((2019)) < 0.001, p((2018)) < 0.001). A significant decrease in patient number to the hospital, despite private practices being closed, was presumably due to patients' infection-related concerns. Trauma cases were more frequent in private settings, and traumatic events under the influence of alcohol were frequent. The circumstances and not the absolute number of trauma events had changed. CONCLUSION: The results of this study suggest that the COVID-19 pandemic has important effects on the use of emergency services concerning oral and maxillofacial surgery in Germany.",Please summerize the given abstract to a title
Integrating social support into interventions among the elderly in nursing homes: a scoping review protocol,"INTRODUCTION: The instituted elderly in nursing home need professional support targeting to maintain their daily activities and quality of life. Social support affects the health of elderly through its influence as a stress buffering or main effects on emotions, cognitions and behaviour that improve health outcomes. Understanding and identifying available interventions for the elderly in the literature related to integrating social support into interventions will be benefits to guide future practice, research and policy. METHODS AND ANALYSIS: A scoping review designed by Arksey and O’Malley has been used in this study. Key words, inclusion and exclusion criteria were elaborated to search the primary articles that published in English from 2010 to 2021 mainly from PubMed, Science Direct, Public Library of Science, SocioHub, Wiley Online Library and PsycINFO databases targeting to reach the selected articles and combined the results with reference lists and hand searches. The Mixed Methods Appraisal Tool version 2018 will be used to identify the quality of the studies. Authors developed the Data Extraction Form for data extraction and analysis. The Preferred Reporting Items for Systematic Reviews and Meta-analyses extension for Scoping Reviews tool will be employed for reporting guideline. ETHICS AND DISSEMINATION: Authors forecast to obtain relevant studies reporting integrating specific dimensions of supportive functions into interventions for the elderly in nursing home. This finding will benefit in quality improvement of supportive interventions in nursing home and to continue the further experimental study. The findings will be disseminated via electronic and hard copy through peer-reviewed publications, conference presentations and internal organisation meeting.",Please summerize the given abstract to a title
Comparison of the Medical Burden of COVID-19 with Seasonal Influenza and Measles Outbreaks,"AIM: To examine and compare the medical burden of measles, influenza and COVID-19 outbreaks in the city of Bnei Brak, Israel. METHODS: The study was conducted during 2018-2021. The numbers of hospitalisations for these infections, their complications were recorded. Hospitalisation rates were determined by using the number of children residing in Bnei Brak and hospitalised with these infections during the study period as the numerators. The denominators were the estimated pediatric cases of measles, influenza and COVID-19 in Bnei Brak and were calculated under both: pragmatic and conservative assumptions. RESULTS: A total of 247, 65 and 32 children were hospitalised with influenza, COVID-19 and measles, respectively. Complications rates were higher following measles than after influenza and SARS-CoV-2 infections. Hospitalisation rates were 10% for measles, 0.6%-1.2% for influenza, and 0.15% - 0.25% for COVID-19 infections. Relative risks (RR) with 95% confidence intervals (CI) for hospitalisation following measles compared to COVID-19 ranged from 42 (26.3-67.3), to 70.1 (43.8-112.1), while the relative risks for influenza hospitalization ranged from 2.5 (1.83 - 3.41) to 8.2 (6.0-11.2), compared to COVID 19 infection. CONCLUSION: Hospitalisation rates and direct medical burdens of measles and influenza were significantly higher than those of COVID-19 infection in children.",Please summerize the given abstract to a title
COVID-19 and its Impact on Education of Preschool Students in a Developing Nation: A Viewpoint,"The pandemic of COVID-19 has played havoc on the economy, healthcare, and education facilities of the world. Many new modes of work have been adopted as a precaution against this deadly disease, and many guidelines have been formed, like using masks in public, maintaining social distance, and restricting movements. These precautions are helpful for prevention but, at the same time, they have put a significant mental burden for the school-going children who were used to the routine school activities with their friends and teachers. The pre-school children, or children belonging to the class of early childhood education as it is often interchangeably called, in a developing country are adversely affected in this pandemic either due to lack of awareness about online mode of teaching and learning and lack of interactions with their peers and teachers or their limited technical support. These problems need to be addressed.",Please summerize the given abstract to a title
Molecular Identification of Infectious Enteropathogens in Faeces of Healthy Horses,"Zoogenic faecal contamination of the environment is one of the indices included in the evaluation of ecological threats, health hazards and adverse impacts on various ecosystems. The risks and environmental concerns are associated with the fact that faeces of wild and domesticated animals constitute the largest source of environmental loading of enteropathogens associated with transmission of zoonotic diseases (enteric zoonoses). Although sick animals are more likely to transmit pathogens, healthy ones can also be the carriers and defecate them into the environment. This is of particular importance given the close human-animal interactions and health effects resulting from human and ecological exposures to faecal hazards from companion and farm animals. We have therefore set out to investigate whether healthy equines can carry and defecate human infectious pathogens. For this purpose, we set up a pilot study to examine the faecal DNA of horses using culture-independent molecular diagnostics - fluorescent probe-based quantitative real-time PCR. Our results revealed that among a total of 23 horses, 6 were found to carry Campylobacter jejuni (C. jejuni), and 5 had Salmonella enterica serovar Typhimurium (S. Typhimurium). Moreover, Enterococcus faecalis (E. faecalis) was found in 14 horses, while 19 were positive for Clostridium perfringens (C. perfringens). Furthermore, the frequently reported protozoan parasites in livestock, Cryptosporidium parvum (C. parvum) and Giardia lamblia (G. lamblia), were discovered in 8 and 7 samples, respectively. This pilot study shed new light on the phenomenon of healthy horses carrying C. jejuni and other human-health-related enteropathogens.",Please summerize the given abstract to a title
Risk factors for SARS-COV-2 infection among patients with chronic viral hepatitis,"Background: We investigated factors associated with risk of SARS-CoV-2 infection among an established cohort of chronic hepatitis B and C (CHB/ CHC) patients at a large, vertically integrated health system located in southeastern Michigan (which includes Detroit), a racially-diverse area that experienced a significant outbreak of COVID-19 during March-May 2020 Methods: Patient characteristics and clinical conditions were collected for the period prior to date of first positive SARS-CoV-2 test, or March 11, 2020 for those who were not SARS-CoV-2 infected Variables included: age;gender;race;insurance type;household income;BMI;CHC vs CHB;AST;ALT;liver fibrosis status (as measured by APRI/ FIB4);diagnosis of liver cirrhosis;Charlson-Deyo comorbidity index;select individual comorbidities;and history of antiviral therapy Patients coinfected with both CHB and CHC were excluded Logistic regression, univariate followed by multivariable modeling, was performed Variables withp-values 30 vs 25, cirrhosis, CHC (active or post-SVR) vs CHB, and higher comorbidity index were associated with higher risk of SARS-CoV-2 infection",Please summerize the given abstract to a title
A multicentre qualitative study of patient skin surgery experience during the COVID-19 pandemic in the UK,"Understanding patient concerns regarding skin surgery during the COVID-19 pandemic is a vital way of learning from individual experiences. A shift towards using superficial absorbable sutures (AS) has been anecdotally observed. We explored patient attitudes to the use of AS, and their experiences and perceptions of attending for skin surgery during the pandemic. In total, 35 participants were interviewed (74% men, 100% white British; mean age 72.5 years, range 43-95 years). Participants reported that they were reassured by precautions taken to minimize exposure and risk from COVID-19. The majority (86%) did not feel that personal protective equipment worn by staff impaired their experience, and 29% reported that their experience of attending for skin surgery during the lockdown period was more efficient and organized than on prepandemic visits. The vast majority (94%) of participants would opt to have AS again or had no strong preference for either suture type. Based on their experiences, most participants would have no concerns about attending for further skin surgery during the pandemic and would opt to have AS.",Please summerize the given abstract to a title
Neurology practice during the COVID‐19 outbreak and post‐pandemic era: experiences and challenges,"As severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2), the virus that causes COVID‐19, is highly infectious and variable, and given that we now understand a large proportion of asymptomatic carriers can be still infectious [1], it is expected that a normalization of epidemic prevention and control measures will be required for a long time worldwide. Our neurology department at Xuanwu Hospital in Beijing is one of the national centers for the research and treatment of neurological disorders in China.",Please summerize the given abstract to a title
"An uncertain future for the post-Brexit, post-COVID-19 European Union","Nowadays, the foundation pillars of European unification, namely solidarity and democracy, are under serious threat, perhaps more serious than that from the 2008 economic crisis, Brexit, the migration crisis and COVID-19 combined As happened in the past, space and geography are again at the forefront asking for interpretations A once progressive academic field such as urban and regional research is due now to regain its progressive reflexes together with broader political concerns about the future of the European Union (EU)",Please summerize the given abstract to a title
Association of Salivary Content Alteration and Early Ageusia Symptoms in COVID-19 Infections: A Systemic Review,"Coronavirus disease (COVID-19) is a major threat to the health and prosperity of human life at present. It has resulted in loss of thousands of lives globally and has brought countries to the brink of economic, social, and health collapse. A major issue of this infection is the ease with which it transmits through salivary droplets and its survival for long durations outside the body. Therefore, its early detection is critical in prevention, diagnostic, and management efforts of COVID-19 patients. Loss of taste and smell is one of the early symptoms reported in these patients and the virus is abundantly found in the salivary secretion of the infected symptomatic and asymptomatic patients. Infection and inflammation of salivary glands are common among viral infections, particularly in the early stages, which lead to salivary composition changes. Chemosensory sensation of taste is critically dependent on the salivary flow rate and its inorganic constituents, protein levels, specific 3',5'-cyclic adenosine monophosphate and 3',5'-cyclic guanosine monophosphate levels, ghrelins, pH levels, and enzymes. Therefore, the question arises, ""Does COVID-19 infection alter the salivary components and composition leading to early transient symptoms of Ageusia and hypogeusia?"" This review shows association of the COVID-19 and Ageusia, in addition to the early viral infection of salivary glands and possible changes in salivary flow and content. Therefore, suggesting a potential association between early ageusia in COVID-19 infection and salivary compositional changes.",Please summerize the given abstract to a title
Spleen Contraction During Sudden Eupneic Hypoxia Elevates Hemoglobin Concentration,"The spleen contracts progressively during moderate normobaric hypoxia exposure of 20 min, which elevates hemoglobin concentration (Hb). However, acute hypoxia exposure could be shorter and more severe when oxygen systems fail during, e.g., high-altitude sky diving, aircraft cabin pressure drop, balloon flights, extreme altitude climbing, and in some maladies. We aimed to evaluate the speed and magnitude of spleen contraction during short exposure to extreme eupneic hypoxia and its subsequent recovery on oxygen. Eight female and seven male volunteers were exposed to normobaric hypoxia (10% oxygen) for 10 min during sitting rest, followed by 10 min on 100% oxygen. Heart rate (HR), arterial oxygen saturation (SpO(2)), and mean arterial blood pressure (MAP) were measured continuously. The spleen was measured via ultrasonic imaging every minute for volume calculations, and venous blood samples were drawn before and after exposure for hemoglobin concentration (Hb). Mean (SD) spleen volume was 279 (115) mL before exposure, 219 (75) mL (21% reduction; P = 0.005) at 3 min of exposure, and 201 (93) mL after 10 min exposure to hypoxia (28% reduction; P < 0.001). Hb was 138.8 (7.6) g·L(−1) before and 142.9 (8.1) g·L(−1) after 10 min of exposure (2.9% increase; P < 0.001). SpO(2) was 96.4 (1.7)% before exposure and 74.7 (8.4)% during the last minute of exposure (22.5% reduction; P < 0.001). HR increased from 80 (14) to 90 (17) bpm during exposure (12% increase, P < 0.05). MAP remained unchanged. After 10 min recovery on oxygen, values had been restored for spleen volume and Hb, while SpO(2) was higher and HR lower compared with before hypoxia exposure. We concluded that acute normobaric hypoxia of only 10 min caused significant spleen volume contraction with Hb increase. This rapid spleen response, evident already after 3 min of exposure, could have a protective effect during sudden exposure to severe hypoxia.",Please summerize the given abstract to a title
The Impact of the Economic Corridor on Economic Stability: A Double Mediating Role of Environmental Sustainability and Sustainable Development Under the Exceptional Circumstances of COVID-19,"This study discusses the impact of different economic indicators on economic stability, including honest leadership, improved infrastructure, revenue generation, and CPEC taking into account the double mediating role of environmental sustainability and sustainable development, while considering the latest COVID-19 situation This study adopted primary data collection methods and obtained data from the employees of CPEC by using questionnaires and smart-PLS for analysis purposes The results revealed that honest leadership, improved infrastructure, revenue generation, and CPEC have a positive nexus with economic stability Despite the severe impact of COVID-19 on the country's economy, the economic corridor plays a vital role in stabilizing the state's economy and supports all those related to this phenomenal project either directly or indirectly",Please summerize the given abstract to a title
Genome-wide CRISPR screens identify GATA6 as a proviral host factor for SARS-CoV-2 via modulation of ACE2,"The global spread of SARS-CoV-2 led to major economic and health challenges worldwide. Revealing host genes essential for infection by multiple variants of SARS-CoV-2 can provide insights into the virus pathogenesis, and facilitate the development of novel therapeutics. Here, employing a genome-scale CRISPR screen, we provide a comprehensive data-set of cellular factors that are exploited by wild type SARS-CoV-2 as well as two additional recently emerged variants of concerns (VOCs), Alpha and Beta. We identified several host factors critical for SARS-CoV-2 infection, including various components belonging to the Clathrin-dependent transport pathway, ubiquitination, Heparan sulfate biogenesis and host phosphatidylglycerol biosynthesis. Comparative analysis of the different VOCs revealed the host factors KREMEN2 and SETDB1 as potential unique candidates required only to the Alpha variant. Furthermore, the analysis identified GATA6, a zinc finger transcription factor, as an essential proviral gene for all variants inspected. We show that GATA6 directly regulates ACE2 transcription and accordingly, is critical for SARS-CoV-2 cell entry. Analysis of clinical samples collected from SARS-CoV-2 infected individuals shows elevated levels of GATA6, suggesting a role in COVID-19 pathogenesis. Finally, pharmacological inhibition of GATA6 resulted in down-modulation of ACE2 and inhibition of viral infectivity. Overall, we show GATA6 may represent a target for the development of anti-SARS-CoV-2 therapeutic strategies and reaffirm the value of the CRISPR loss-of-function screens in providing a list of potential new targets for therapeutic interventions.",Please summerize the given abstract to a title
Increased Self-medication with Steroids in Inflammatory Bowel Disease Patients during COVID-19 Pandemic: Time to Optimize Specialized Telemonitoring Services,"Inflammatory bowel disease (IBD) is a serious condition characterized by a complex interaction of genetic, environmental, and inflammatory variables that affect the gut and other extragastrointestinal systems. Self-medication with steroids has become a major issue in light of the current pandemic situation in IBD patients. We observed a higher frequency of steroid self-medication (17.9%) and steroid overprescription (28.2%) by non-gastroenterologists during the pandemic. The use of telemonitoring tools can improve patient-IBD care provider communications in terms of drug compliance and better disease outcomes. How to cite this article: Vinay G. Increased Self-medication with Steroids in Inflammatory Bowel Disease Patients during COVID-19 Pandemic: Time to Optimize Specialized Telemonitoring Services. Euroasian J Hepato-Gastroenterol 2021;11(2):103–104.",Please summerize the given abstract to a title
Women Tell All: A Comparative Thematic Analysis of Women’s Perspectives on Two Brief Counseling Interventions for Intimate Partner Violence,"Background: Intimate partner violence (IPV) is a significant public health problem that is commonly experienced by women and associated with psychosocial health issues. Recovering from IPV through Strengths and Empowerment (RISE) is a brief, clinician-administered, variable-length (1–6 sessions), modular, individualized psychosocial counseling intervention developed for women experiencing IPV. We present qualitative feedback and quantitative helpfulness ratings from women patients of the Veterans Health Administration who completed a randomized clinical trial (RCT) comparing RISE to a clinician-administered advocacy-based Enhanced Care as Usual (ECAU; a single structured session consisting of psychoeducation, safety-planning, resources, and referrals). Methods: 58 participants ((M)age = 39.21) completed post-intervention semi-structured qualitative interviews, including helpfulness ratings, at two follow-up assessments (10- and 14-weeks post-enrollment) to assess the acceptability, usefulness, and perceived fit of the interventions for women’s needs. Interviews were transcribed and analyzed using a hybrid deductive-inductive analytic approach. Results: While both the RISE and ECAU interventions were deemed helpful (interventions were rated as ‘highly helpful’ by 77% of RISE and 52% of ECAU participants), differences were identified in perceived impacts of the intervention, application of content, approach to patient-centeredness, and implementation recommendations. Conclusions: Findings shed light on women Veterans’ experiences and preferences for IPV psychosocial counseling interventions. Such knowledge can inform evidence-based, trauma-informed, and individualized care for women Veterans who experience IPV and may have relevance to other populations of women who experience IPV.",Please summerize the given abstract to a title
French forensic mental health system during the COVID-19 pandemic,"• Many facilities involved in caring people diagnosed with mental health disorders who committed crime had to adapt to COVID-19 pandemic. • The impact of the COVID-19 pandemic on incarcerated people was the subject of many concerns. • The lockdown period was associated with an increase in domestic violence, especially gender-based violence and child abuse and neglect.",Please summerize the given abstract to a title
