input,output,instruction
What causes Glomerulosclerosis?,"The cause of focal segmental glomerulosclerosis is usually unknown.
Known causes include:
Heroin use HIV Inherited genetic problems Obesity Reflux nephropathy (a condition in which urine flows backward from the bladder to the kidney) Sickle cell disease",Answer this question truthfully
What causes Retroperitoneal fibrosis?,Retroperitoneal fibrosis is a rare disorder that occurs when extra fibrous tissue forms in the area behind the stomach and intestines. The excess tissue forms a mass (or masses) that can block the tubes that carry urine from the kidney to the bladder. Doctors don't know why these masses form. It is most common in people aged 40 - 60. Men are twice as likely to develop the condition as women.,Answer this question truthfully
What are the symptoms of Deep vein thrombosis?,Changes in skin color (redness) in one leg Increased warmth in one leg Leg pain in one leg Leg tenderness in one leg Skin that feels warm to the touch Swelling (edema) of one leg,Answer this question truthfully
When to seek urgent medical care when I have Diabetic nephropathy ?,"Call your health care provider if you have diabetes and a routine urinalysis shows protein. Call your health care provider if you develop symptoms of diabetic nephropathy, or if new symptoms develop, including little or no urine output.",Answer this question truthfully
When to seek urgent medical care when I have Neurosyphilis ?,Call for an appointment with your health care provider if you have had syphilis in the past and now have signs of neurological problems.,Answer this question truthfully
What to expect if I have Acute pancreatitis  (Outlook/Prognosis)?,"Most cases go away in a week. However, some cases develop into a life-threatening illness.
The death rate is high with:
Hemorrhagic pancreatitis Liver, heart, or kidney impairment Necrotizing pancreatitis
It is common for the condition to return.",Answer this question truthfully
When to seek urgent medical care when I have Lesch-Nyhan%27s syndrome ?,Call your health care provider if signs of this illness appear in your child or if there is a history of Lesch-Nyhan syndrome in your family.,Answer this question truthfully
What are the symptoms of Eosinophilic fasciitis?,Bone pain or tenderness Carpal tunnel syndrome Numbness or tingling in one or both hands Pain in one or both hands Weakness in one or both hands Muscle weakness Tenderness and swelling of the arms and legs (occasionally including joints) Thickened skin with puckered appearance,Answer this question truthfully
When could I drive after i underwent Coronary stent discharge instructions ?,You should not drive for 48 hours after the procedure.,Answer this question truthfully
Who is at highest risk for Oliguria ?,Patient having any of the conditions mentioned in the causes are at risk of oliguria.,Answer this question truthfully
What are the symptoms of stomach cancer?,"Early stomach cancer does not have any symptoms. When the cancer grows larger, people may notice one or more symptoms, such as the following:
Abdominal symptoms
Abdominal pain - At first the location may be in the upper or middle abdomen. It is typically a relatively mild pain. With the development of the cancer, abdominal pain may be persistent. Loss of appetite - Some patients endure a loss of appetite without any inducement. Nausea and vomiting - This is also because of the affect of the lump. It disturbs the normal digestive functions. Vomiting blood - Sometimes a massive hemorrhage of the gastrointestinal tract may occur. Vague abdominal fullness - This is because of the development of the lump. Premature abdominal fullness after meals: This is induced by the decreased amount of gastric space with the growth of the lump.
Abdominal lump - People can not find any lump at the beginning of the disease. When the cancer enlarges, the lump may be obvious in the abdomen.
Whole body symptoms
General decline in health- This is because of the consumption of the cancer. Weakness or fatigue - The reason is also because the cancer wastes your energy.
Infections or other health problems may also cause these symptoms. Only a doctor can tell for sure. A person with any of these symptoms should tell his/her doctor so that problems can be diagnosed and treated as early as possible.
Abdominal and whole body symptoms have no specificity. Other health problems may also cause similar symptoms. Go to see your doctor to verify your diseases as early as possible. Diseases with similar symptoms are listed in the following:
Acute or chronic gastritis Angina Cholelithiasis and cholecystitis Depression Gastric ulcer Gastroesophageal reflux disease (GERD)",Answer this question truthfully
What are the symptoms of Dengue fever?,"Dengue fever begins with a sudden high fever, often as high as 104–105 degrees Fahrenheit. A flat, red rash may appear over most of the body 2–5 days after the fever starts. A second rash, which looks like the measles, appears later in the disease. Infected people may have increased skin sensitivity and are very uncomfortable.
Other symptoms include:
Headache (especially behind the eyes) Fatigue Joint aches Muscle aches Nausea Swollen lymph nodes Vomiting",Answer this question truthfully
What are the symptoms of Oral cancer?,"Mucous membrane lesion, lump, or ulcer:
May be a deep, hard-edged crack in the tissue Most often pale colored, may be dark or discolored On the tongue, lip, or other mouth area Usually painless at first (may develop a burning sensation or pain when the tumor is advanced) Usually small
Additional symptoms that may be associated with this disease:
Abnormal taste in the mouth Mouth sores Swallowing difficulty Tongue problems",Answer this question truthfully
What causes Bloody or tarry stools?,"The upper part of the GI tract will usually cause black stools due to: Abnormal blood vessels (vascular malformation) A tear in the esophagus from violent vomiting (Mallory-Weiss tear) Bleeding stomach or duodenal ulcer Inflammation of the stomach lining (gastritis) Lack of proper blood flow to the intestines (bowel ischemia) Trauma or foreign body Widened, overgrown veins (called varices) in the esophagus and stomach The lower part of the GI tract will usually cause maroon or bright red, bloody stools due to: Anal fissures Bowel ischemia (when blood supply is cut off to part of the intestines) Colon polyps or colon cancer Diverticulosis (abnormal pouches in the colon) Hemorrhoids (common cause) Inflammatory bowel disease (such as Crohn's disease or ulcerative colitis) Intestinal infection (such as bacterial enterocolitis) Small bowel tumor Trauma or foreign body Vascular malformation (abnormal collections of blood vessels called arteriovenous malformations or AVMs)
Eating black licorice, lead, iron pills, bismuth medicines like Pepto-Bismol, or blueberries can also cause black stools. Beets and tomatoes can sometimes make stools appear reddish. In these cases, your doctor can test the stool with a chemical to rule out the presence of blood. Bleeding in the esophagus or stomach (such as with peptic ulcer disease) can also cause you to vomit blood.",Answer this question truthfully
What are the symptoms of Legg-Calvé-Perthes syndrome?,"The first symptom is often limping, which is usually painless. Sometimes there may be mild pain that comes and goes.
Other symptoms may include:
Hip stiffness that restricts movement in the hip Knee pain Limited range of motion Persistent thigh or groin pain Shortening of the leg, or legs of unequal length Wasting of muscles in the upper thigh",Answer this question truthfully
What causes Hematuria?,"Several conditions can cause hematuria, most of them not serious. For example, exercise may cause hematuria that goes away in 24 hours. Many people have hematuria without any other related problems. Often no specific cause can be found. But because hematuria may be the result of a tumor or other serious problem, a doctor should be consulted.",Answer this question truthfully
What to expect if I have Alkaptonuria  (Outlook/Prognosis)?,"The outcome for people affected with alkaptonuria is generally expected to be good. Some possible complications include people with this condition also can get arthritis in adulthood. The build-up of homogentisic acid in the cartilage causes arthritis in about 50% of older adults with alkaptonuria.
Homogentisic acid also can build up on the heart valves, especially the mitral valve. This can sometimes lead to the need for valve replacement. Coronary artery disease may develop earlier in people with alkaptonuria. Kidney stones and prostate stones may be more common in people with alkaptonuria.",Answer this question truthfully
What causes Carotid artery stenosis?,"Carotid artery disease occurs when sticky, fatty substances called plaque build up in the inner lining of the arteries. The plaque may slowly block or narrow the carotid artery or cause a clot (thrombus) to form. Clots can lead to stroke.",Answer this question truthfully
What to expect if I have Pseudo-Cushing%27s syndrome  (Outlook/Prognosis)?,"Prognosis of pseudo-Cushing's syndrome varies, depending on the cause and the person. With abstinence from alcohol, all biochemical abnormalities return to reference ranges. But patients with chronic alcoholism often relapse.
Template:WH Template:WS",Answer this question truthfully
What are the symptoms of an Impacted tooth?,Bad breath Difficulty opening the mouth (occasionally) Pain or tenderness of the gums (gingiva) or jaw bone Prolonged headache or jaw ache Redness and swelling of the gums around the impacted tooth Swollen lymph nodes of the neck (occasionally) Unpleasant taste when biting down on or near the area Visible gap where a tooth did not emerge,Answer this question truthfully
When to seek urgent medical care when I have Menopause ?,"Call your health care provider if:
You are spotting blood between periods You have had 12 consecutive months with no period and suddenly vaginal bleeding or spotting begins again, even if it is a very small amount",Answer this question truthfully
What are the symptoms of Homocystinuria?,"Newborn infants appear healthy. Early symptoms, if present at all, are not obvious.
Symptoms may occur as mildly delayed development or failure to thrive. Increasing visual problems may lead to diagnosis of this condition.
Other symptoms include:
Chest deformities (pectus carinatum, pectus excavatum) Flush across the cheeks High arches of the feet Knock knees Long limbs Mental retardation Nearsightedness Psychiatric disorders Spidery fingers (arachnodactyly) Tall, thin build",Answer this question truthfully
What are the symptoms of Horner's syndrome?,"Decreased sweating on the affected side of the face Drooping eyelid (ptosis) Sinking of the eyeball into the face Small (constricted) pupil (the black part in the center of the eye)
There may also be symptoms of the disorder that is causing the problem.",Answer this question truthfully
What to expect if I have Goodpasture syndrome  (Outlook/Prognosis)?,"An early diagnosis is very important. The patient's outlook is much worse if the kidneys are already severely damaged when treatment begins. Lung damage can range from mild to severe.
Many patients will require dialysis or a kidney transplant.",Answer this question truthfully
What causes Shigellosis?,"Shigellosis is caused by a group of bacteria called Shigella.
There are several types of Shigella.
Shigella sonnei, also called ""group D"" Shigella, is responsible for most cases of shigellosis in the United States. Shigella flexneri, or ""group B"" Shigella, cause almost all other cases. Shigella dysenteriae type 1 is rare in the U.S. but can lead to deadly outbreaks in developing countries.
People infected with the bacteria release it into their stool. The bacteria can spread from an infected person to contaminate water or food, or directly to another person. Getting just a little bit of the Shigella bacteria into your mouth is enough to cause symptoms.",Answer this question truthfully
What are the symptoms of colorectal cancer?,"Early colorectal cancer does not make any symptoms. When the cancer grows larger, people with colorectal cancer may experience the following symptoms.
Changes in bowel habits such as diarrhea, constipation, or narrowing of the stool that lasts for more than a few days
Cramping, abdominal pain and abdominal distention
Rectal bleeding, dark stools, or blood in the stool
Weakness and fatigue
Other health problems may also cause these symptoms. Only a doctor can tell for sure. A person with any of these symptoms should tell the doctor so that problems can be diagnosed and treated as early as possible.",Answer this question truthfully
What to expect if I have Dementia with Lewy bodies  (Outlook/Prognosis)?,"Like Alzheimer’s disease and Parkinson’s disease, DLB is a neuro-degenerative disorder that results in progressive intellectual and functional deterioration.
There are no known therapies to stop or slow the progression of DLB.
Average survival after the time of diagnosis is similar to that in Alzheimer’s disease, about 8 years, with progressively increasing disability.",Answer this question truthfully
What are the symptoms of Strongyloidiasis?,"Most of the time, there are no symptoms. If there are symptoms, they may include:
Abdominal pain (upper abdomen) Cough Diarrhea Rash Vomiting Weight loss",Answer this question truthfully
What to expect if I have Grief  (Outlook/Prognosis)?,"It may take a year or longer to overcome strong feelings of grief, and to accept the loss.",Answer this question truthfully
When to seek urgent medical care when I have Sleep disorders ?,"Call for an appointment with your health care provider if lack of sleep, too much sleep, or unusual sleep behaviors are interfering with daily living.
Sleep apnea should be suspected in people who snore loudly, wake frequently to urinate at night, and wake up in the morning unrefreshed.",Answer this question truthfully
What to expect if I have Atypical pneumonia  (Outlook/Prognosis)?,"Most patients with pneumonia due to mycoplasma or chlamydophila do well with the right antibiotic therapy. P.Legionella can be severe, leading to problems such as kidney failure, diabetes, COPD, a weak immune system, and death.",Answer this question truthfully
What to expect if I have Psychosis  (Outlook/Prognosis)?,"How well a person does depends on the cause of the psychosis. If the cause can be corrected, the outlook is often good, and treatment with antipsychotic medication may be brief.
Some chronic conditions, such as schizophrenia, may need life-long treatment with antipsychotic medications to control symptoms.",Answer this question truthfully
Who is at highest risk for Filariasis ?,Repeated mosquito bites over several months to years are needed to get lymphatic filariasis. People living for a long time in tropical or sub-tropical areas where the disease is common are at the greatest risk for infection.,Answer this question truthfully
What causes Epithelioid sarcoma?,Mutations in the SMARCB1 gene cause epithelioid sarcoma.,Answer this question truthfully
What to expect if I have Henoch-Sch%C3%B6nlein purpura  (Outlook/Prognosis)?,The disease usually gets better on its own without treatment.,Answer this question truthfully
When to seek urgent medical care when I have Abdominal mass ?,"Seek immediate medical help if you have a pulsating lump in your abdomen along with severe abdominal pain. This could be a sign of a ruptured aortic aneurysm, which is an emergency condition.
Contact your doctor if you notice any type of abdominal mass.",Answer this question truthfully
How is the Endometrial biopsy done?,"This procedure may be done with or without anesthesia. You will lie on your back with your feet in stirrups.
The health care provider will do a pelvic examination, and will insert an instrument (speculum) into the vagina to hold it open and see the cervix.
The cervix is cleaned with an antiseptic liquid and then grasped with an instrument (tenaculum) to hold the uterus steady. A device called a cervical dilator may be needed to stretch the cervical canal if there is tightness (stenosis). Then a small, hollow plastic tube is gently passed into the uterine cavity.
Gentle suction removes a sample of the lining. The tissue sample and instruments are removed. A specialist called a pathologist examines the sample under a microscope.",Answer this question truthfully
What are the symptoms of Prostatitis?,"Symptoms of acute prostatitis can start quickly, and can include:
Chills Fever Flushing of the skin
Symptoms of chronic prostatitis are similar, but not as severe. They usually begin more slowly. Some people have no symptoms between episodes of prostatitis.
Urinary symptoms include:
Blood in the urine Burning or pain with urination (dysuria) Difficulty starting to urinate or emptying the bladder Foul-smelling urine Weak urine stream
Other symptoms that may occur with this condition:
Pain or achiness in the abdomen above the pubic bone, in the lower back, in the area between the genitals and anus, or in the testicles Pain with ejaculation or blood in the semen Pain with bowel movements
If prostatitis occurs with an infection in or around the testicles (epididymitis or orchitis), you may also have symptoms of that condition.",Answer this question truthfully
What causes Psoriasis?,"Psoriasis cannot be spread to others. Psoriasis seems to be passed down through families. Doctors think it probably occurs when the body's immune system mistakes healthy cells for dangerous substances. Skin cells grow deep in the skin and normally rise to the surface about once a month. In persons with psoriasis, this process is too fast (about 2 weeks instead of 4 weeks) and dead skin cells build up on the skin's surface. The following may trigger an attack of psoriasis or make the condition more difficult to treat:
Bacteria or viral infections, including strep throat and upper respiratory infections Dry air or dry skin Injury to the skin, including cuts, burns, and insect bites Some medicines, including antimalarial drugs, beta-blockers, and lithium Stress Too little sunlight Too much sunlight (sunburn) Too much alcohol
In general, psoriasis may be severe in people who have a weakened immune system. This may include persons who have:
AIDS Autoimmune disorders (such as rheumatoid arthritis) Cancer chemotherapy
Up to one-third of people with psoriasis may also have arthritis, a condition known as psoriatic arthritis.",Answer this question truthfully
What causes Primary central nervous system lymphoma?,"Clinical data has suggested that the development of brain tumor is related to several factors.
Radiation exposure Family history Immune system disorders Cell phone use: There has been a great deal of debate in recent years.",Answer this question truthfully
What to expect if I have Munchausen syndrome by proxy  (Outlook/Prognosis)?,"This is a difficult disorder to treat in parents. There is little information available about the best types of treatment or what the outcome will be. It usually requires years of psychiatric support.
Children may require medical care to treat injuries the parent inflicted, as well as psychiatric care to deal with depression, anxiety, and other conditions that can be provoked by child abuse.
Some children may die from infections or other injuries inflicted by parents with Munchausen syndrome by proxy.",Answer this question truthfully
What causes Hydrocele?,"Hydroceles are common in newborn infants. During normal development, the testicles descend down a tube from the abdomen into the scrotum. Hydroceles result when this tube fails to close. Fluid drains from the abdomen through the open tube. The fluid builds up in the scrotum, where it becomes trapped. This causes the scrotum to become swollen. Hydroceles normally go away a few months after birth, but their appearance may worry new parents. Occasionally, a hydrocele may be associated with an inguinal hernia. Hydroceles may also be caused by inflammation or injury of the testicle or epididymis, or by fluid or blood blockage within the spermatic cord. This type of hydrocele is more common in older men.",Answer this question truthfully
What to expect if I have Carcinoma of the penis  (Outlook/Prognosis)?,The outcome can be good with early diagnosis and treatment. The 5-year survival rate for penile cancers is 65%. Urination and sexual function can often be maintained even when a significant portion of the penis is removed.,Answer this question truthfully
What causes Peripheral arterial disease?,"Peripheral artery disease is caused by arteriosclerosis, or ""hardening of the arteries."" This problem occurs when fatty material (plaque) builds up on the walls of your arteries. This causes the arteries to become narrower. The walls of the arteries also become stiffer and cannot widen (dilate) to allow greater blood flow when needed.
As a result, when the muscles of your legs are working harder (such as during exercise or walking) they cannot get enough blood and oxygen. Eventually, there may not be enough blood and oxygen, even when the muscles are resting.
Peripheral artery disease is a common disorder that usually affects men over age 50.",Answer this question truthfully
Who is at highest risk for Mesothelioma ?,"Clinical data has suggested that the development of kidney cancer is related to several factors.
Asbestos: Doctors found most cases of mesothelioma have been linked to asbestos exposure in the workplace. Zeolites: Zeolites are silicate minerals chemically related to asbestos. Data suggest that they are related to the development of mesothelioma. Radiation: During the past, thorotrast is found to invlove in the development of mesothelioma. Simian virus 40 (SV40): Some lab studies reported that SV40 infection may cause mesothelioma.",Answer this question truthfully
What to expect if I have Pneumocystis jirovecii pneumonia  (Outlook/Prognosis)?,"Pneumocystis pneumonia can be life threatening, causing respiratory failure that can lead to death. People with this condition need early and effective treatment. For moderate to severe pneumocystis pneumonia in people with AIDS, the short term use of corticosteroids has decreased death.",Answer this question truthfully
When to seek urgent medical care when I have Schizotypal personality disorder ?,"Talk to your health care provider or mental health professional if:
You have trouble forming and keeping relationships due to unusual beliefs You suspect that your child may have this problem",Answer this question truthfully
What are the symptoms of Hereditary spherocytosis?,"Infants may have yellowing of the skin and eyes (jaundice) and pale coloring (pallor).
Other symptoms may include:
Fatigue Irritability Shortness of breath Weakness",Answer this question truthfully
When to seek urgent medical care when I have Epithelioid sarcoma ?,A person should seek urgent medical care when there are any complications that arise from epithelioid sarcoma.,Answer this question truthfully
What are the symptoms of Zika virus infection?,"You can become infected with Zika virus more than once and show symptoms many times. Symptoms usually occur within hours or a few days after you are infected with Zika virus. It usually takes a couple of days (usually up to a week) before you are better. Symptoms of Zika virus infection include:
Fever Rash Loss of appetite Joint aches and/or muscle aches Vomiting Diarrhea or constipation Back pain Fatigue Red eye (conjunctivitis) and eye pain Muscle aches",Answer this question truthfully
What are the symptoms of cardiac tamponade?,"Anxiety, restlessness Chest pain - Sharp and stabbing pain which worsens with deep breathing or coughing. Difficulty breathing Discomfort, sometimes relieved by sitting upright or leaning forward Fainting, light-headedness Pale, gray, or blue skin Palpitations Rapid breathing Swelling of the abdomen or other areas Low blood pressure Weak or absent pulse",Answer this question truthfully
When to seek urgent medical care when I have Sideroblastic anemia ?,"You should go to urgent care immediatly if you experience:
Chest pain Difficulty breathing Severe abdominal pain Bleeding from gums or nose Extreme weakness Fever",Answer this question truthfully
When to seek urgent medical care when I have Gum disease ?,"Call your dentist if symptoms of gingivitis are present, especially if you have not had a routine cleaning and examination in the last 6 months.
Call your health care provider if the dentist recommends medical treatment of underlying conditions that contribute to the development of gingivitis.",Answer this question truthfully
What Causes Pompe disease?,"Pompe disease occurs when the body lacks the protein (enzyme) that releases glycogen. This causes abnormal amounts of glycogen to build up in certain tissues.
Pompe disease is inherited, which means it is passed down through families. If both parents carry the defective gene related to this condition, each of their children has a 25% chance of developing the disease.",Answer this question truthfully
When to seek urgent medical care when I have Glanzmann%27s thrombasthenia ?,"Call your health care provider if:
You have bleeding or bruising of an unknown cause Bleeding does not stop after usual treatments",Answer this question truthfully
What are the symptoms of Aarskog-Scott syndrome?,"Symptoms of Aarksog-Scott syndrome:
Distinct facial features such as: a downward slant to the eyes, hairline with a "" widow's peak, a long area between the nose and mouth (philtrum), poorly developed midportion of the face and overall rounding of the face, small nose with nostrils tipped forward, wide-set eyes (hypertelorism) with droopy eyelids, and a wide groove above the upper lip, crease below the lower lip Other body features: belly button that sticks out, bulge in the groin or scrotum (inguinal hernia) or soft out-pouching around the belly button (umbilical hernia), delayed dental development, mildly sunken chest (pectus excavatum), mild to moderate short stature which may not be obvious until the child is 1 - 3 years old, short fingers and toes with mild webbing (syndactyly), single crease in palm of hand (simian crease), small, broad hands and feet with short fingers (brachydactyly) and curved-in 5th finger (fifth finger clinodactyly), and top portion of the ear folded over slightly of the ear folded over slightly Reproductive development issues: delayed sexual maturation, shawl scrotum in which the scrotum surrounds the penis; less often, males have undescended testiles (cryptorchidism) Mild to moderate neurological delay
Some people with Aarskog-Scott syndrome are born with more serious abnormalities, such as heart defects or a cleft lip with or without an opening in the roof of the mouth (cleft palate).",Answer this question truthfully
What causes Sepsis?,"Sepsis is caused by a bacterial infection that can begin anywhere in the body. Common places where an infection might start include:
The bowel (usually seen with peritonitis) The kidneys (upper urinary tract infection or pyelonephritis) The lining of the brain (meningitis) The liver or the gall bladder The lungs (bacterial pneumonia) The skin (cellulitis)
In children, sepsis may accompany infection of the bone (osteomyelitis). In hospitalized patients, common sites of infection include intravenous lines, surgical wounds, surgical drains, and sites of skin breakdown known as bedsores (decubitus ulcers).",Answer this question truthfully
Who is at highest risk for Transposition of the great vessels ?,"Factors in the mother that may increase the risk of this condition include:
Age over 40 Alcoholism Diabetes Poor nutrition during pregnancy (prenatal nutrition) Rubella or other viral illness during pregnancy",Answer this question truthfully
Why this medication is prescribed?,"Pravastatin is used together with lifestyle changes (diet, weight-loss, exercise) to reduce the amount of cholesterol (a fat-like substance) and other fatty substances in the blood. Pravastatin is in a class of medications called HMG-CoA reductase inhibitors (statins). It works by slowing the production of cholesterol in the body.
Buildup of cholesterol and other fats along the walls of the blood vessels (a process known as atherosclerosis) decreases blood flow and, therefore, the oxygen supply to the heart, brain, and other parts of the body. Lowering blood levels of cholesterol and other fats may help to decrease your chances of getting heart disease, angina (chest pain), strokes, and heart attacks. In addition to taking a cholesterol-lowering medication, making certain changes in your daily habits can also lower your cholesterol blood levels. You should eat a diet that is low in saturated fat and cholesterol (see SPECIAL DIETARY), exercise 30 minutes on most, if not all days, and lose weight if you are overweight.",Answer this question truthfully
What to expect if I have Floater  (Outlook/Prognosis)?,"In most cases, floaters are part of the natural aging process and simply an annoyance. They can be distracting at first, but eventually tend to ""settle"" at the bottom of the eye, becoming less bothersome. They usually settle below the line of sight but do not go away completely.
Sometimes a section of the vitreous pulls the fine fibers away from the retina all at once, rather than gradually, causing many new floaters to appear suddenly. This is called a vitreous detachment, which in most cases is not sight-threatening and requires no treatment.
However, a sudden increase in floaters, possibly accompanied by light flashes or peripheral (side) vision loss, could indicate a retinal detachment. If left untreated, a retinal detachment can lead to permanent visual impairment within two or three days or even blindness in the eye.",Answer this question truthfully
What are the symptoms of Androgen insensitivity syndrome?,"The typical characteristic of androgen insensitivity syndrome is feminization. It can be divided into two main categories: complete androgen insensitivity syndrome and incomplete androgen insensitivity syndrome. Complete androgen insensitivity syndrome
At birth, because of external sex characteristics of females, this type of people are usually raised as females and have a female gender identity. During puberty, their female secondary sex characteristics, such as breasts develope. At the same time, they have sparse or absent hair in the pubic area and under the arms. They do not menstruate and testes are undescended. At adult, they are unable to conceive a child for without uterus. Undescended testes can become cancerous later in life if they are not surgically removed.
Incomplete androgen insensitivity syndrome
At birth, they may have normal female sex characteristics, both male and female sex characteristics, or normal male sex characteristics. They may be raised as males or as females, and may have a male or a female gender identity. During puberty, people with mild androgen insensitivity tend to experience female secondary sex characteristics, such as breast enlargement. Many of them have partial closing of the outer vaginal lips, an enlarged clitoris, and a short vagina but no cervix or uterus. Their testes locate in the abdomen or other unusual places in the body. In adult, they are often infertile.",Answer this question truthfully
What to expect if I have Neonatal respiratory distress syndrome  (Outlook/Prognosis)?,"The Infant respiratory distress syndrome often worsens for 2 to 4 days after birth with slow improvement thereafter. Some infants with severe respiratory distress syndrome will die, although this is rare on the first day of life. If it occurs, it usually happens between days 2 and 7.
Long-term complications may develop as a result of too much oxygen, high pressures delivered to the lungs, the severity of the Infant respiratory distress syndrome itself, or periods when the brain or other organs did not receive enough oxygen.",Answer this question truthfully
What are the symptoms of Becker's muscular dystrophy?,"Females rarely develop symptoms. Males will develop symptoms if they inherit the defective gene. Symptoms usually appear in boys at about age 12, but may begin later.
Muscle weakness of the lower body, including the legs and pelvis area, slowly gets worse, causing:
Difficulty walking that gets worse over time; by age 25-30 the person is usually unable to walk Frequent falls Difficulty with running, hopping, and jumping Loss of muscle mass
Muscle weakness in the arms, neck, and other areas is not as severe as in the lower body.
Other symptoms may include:
Breathing problems Cognitive problems (these do not get worse over time) Fatigue Loss of balance and coordination",Answer this question truthfully
What are the symptoms of Shigellosis?,"Symptoms usually develop about 1 to 7 days (average 3 days) after you come in contact with the bacteria.
Symptoms include:
Acute (sudden) abdominal pain or cramping Acute (sudden) fever Blood, mucus, or pus in stool Crampy rectal pain (tenesmus) Nausea and vomiting Watery diarrhea",Answer this question truthfully
What are the symptoms of Fibromyalgia?,"Pain in the main symptom of fibromyalgia. It may be mild to severe.
Painful areas are called tender points. Tender points are found in the soft tissue on the back of the neck, shoulders, chest, lower back, hips, shins, elbows, and knees. The pain then spreads out from these areas. The pain may feel like a deep ache, or a shooting, burning pain. The joints are not affected, although the pain may feel like it is coming from the joints.
People with fibromyalgia tend to wake up with body aches and stiffness. For some patients, pain improves during the day and gets worse at night. Some patients have pain all day long.
Pain may get worse with activity, cold or damp weather, anxiety, and stress.
Fatigue, depressed mood, and sleep problems are seen in almost all patients with fibromyalgia. Many say that they can't get to sleep or stay asleep, and they feel tired when they wake up.
Other symptoms of fibromyalgia may include:
Irritable bowel syndrome (IBS) Memory and concentration problems Numbness and tingling in hands and feet Palpitations Reduced ability to exercise Tension or migraine headaches",Answer this question truthfully
What are the symptoms of Ewing's sarcoma?,"Usual symptoms of Ewing's sarcoma include:
Pain at the site of the tumor
Swelling at the site of the tumor
Pathological fracture
Fever
Other health problems may also cause these symptoms. Only a doctor can tell for sure. A person with any of these symptoms should tell the doctor so that the problems can be diagnosed and treated as early as possible.",Answer this question truthfully
What causes Encopresis?,"Encopresis is frequently associated with constipation and fecal impaction. Often, hard fecal material remains in the colon and the child only passes a soft or semi-liquid stool around the impacted stool. Leakage of stool may occur during the day or night. There are rarely physical causes other than constipation (sometimes present since infancy).
Other causes may be related to:
A lack of toilet training Toilet training at too early an age Emotional disturbance such as oppositional defiant disorder Conduct disorder
Whatever the cause the child may develop associated shame, guilt, or loss of self-esteem. The child may try to hide the discovery of the problem.",Answer this question truthfully
When to seek urgent medical care when I have Influenza ?,"Call your health care provider if someone in a high-risk category develops symptoms of the flu, or if your illness seems severe.",Answer this question truthfully
How common is Shwachman-Diamond syndrome?,Researchers are not sure how common Shwachman-Diamond syndrome is. Several hundred cases have been reported in scientific studies.,Answer this question truthfully
When to seek urgent medical care when I have Interstitial lung disease ?,"Your breathing is getting harder, faster, or more shallow than before. You cannot get a deep breath, or need to lean forward when sitting. You are having headaches more often. You feel sleepy or confused. You have a fever. You are coughing up dark mucus. Your fingertips or the skin around your fingernails is blue.",Answer this question truthfully
What causes Metabolic acidosis?,"Metabolic acidosis occurs when the body produces too much acid, or when the kidneys are not removing enough acid from the body. There are several types of metablic acidosis:
Diabetic acidosis (also called diabetic ketoacidosis and DKA) develops when substances known as ketone bodies, which are acidic, build up during uncontrolled diabetes Hyperchloremic acidosis results from excessive loss of sodium bicarbonate from the body, as can happen with severe diarrhea Lactic acidosis is a buildup of lactic acid. It can be caused by: Alcohol Cancer Exercising for a very long time Liver failure Low blood sugar (hypoglycemia) Medications such as salicylates Prolonged lack of oxygen from shock, heart failure, or severe anemia Seizures
Other causes of metabolic acidosis include:
Kidney disease (distal tubular acidosis and proximal renal tubular acidosis) Poisoning by aspirin, ethylene glycol (found in antifreeze), or methanol Severe dehydration",Answer this question truthfully
When to seek urgent medical care when I have Dialysis ?,"Dialysis is started after a gradual loss of kidney function in patients with chronic kidney disease. Your doctor and nurse will begin discussing dialysis with you before you need it.
Dialysis also may be used when the kidneys suddenly stop working (also called acute renal failure). On occasion, dialysis can be used to quickly remove drugs or poisons from the body.",Answer this question truthfully
What to expect if I have Bedwetting  (Outlook/Prognosis)?,The condition poses no threat to the health of the child if there is no physical cause of bedwetting. The child may feel embarrassment or have a loss of self-esteem because of the problem. It is important to reassure the child. Most children respond to some type of treatment.,Answer this question truthfully
What to expect if I have Congenital herpes  (Outlook/Prognosis)?,"Infants with systemic herpes or encephalitis often do poorly, despite antiviral medications and early treatment.
In infants with skin disease, the vesicles may come back repeatedly even after treatment is finished. These recurrences put them at risk for learning disabilities, and may need to be treated.",Answer this question truthfully
What are the symptoms of Folliculitis?,"Common symptoms include a rash, itching, and pimples or pustules near a hair follicle in the neck, groin, or genital area. The pimples may crust over.",Answer this question truthfully
When to seek urgent medical care when I have Cluster headache ?,"Call for an appointment with your health care provider if:
Cluster headaches do not respond to treatment Headaches disturb your sleep You get headaches whenever you are active Headaches occur with other symptoms
Danger symptoms require immediate medical care. Some of these symptoms include:
Changes in alertness Changes in movement or sensation Drowsiness Nausea or vomiting Seizures Vision changes",Answer this question truthfully
What are the causes of Pancreatic pseudocyst?,"Pancreatic pseudocysts most often develop after an episode of severe, acute pancreatitis. Acute pancreatitis is sudden swelling (inflammation) of the pancreas. The cyst happens when the ducts (tubes) in the pancreas are damaged by the inflammation or swelling that occurs during pancreatitis.
A pancreatic pseudocyst may also occur after trauma to the abdomen, and in someone with chronic pancreatitis.",Answer this question truthfully
