input,Correct Answer,Correct Option,source
"The enzymes of glycolysis are located in the:

A. mitochondrion.
B. nucleus.
C. cytoplasm.
D. lysosomes.",cytoplasm.,C,Clinical Knowledge
"After what period of time does maximal dynamic exercise become predominantly aerobic?

A. 10 seconds
B. 30 seconds
C. 1 minute
D. 4 minutes",1 minute,C,Clinical Knowledge
"In the fetus, the ductus arteriosus passes blood from the

A. pulmonary vein to the aorta.
B. aorta to pulmonary vein.
C. pulmonary artery to the aorta.
D. aorta to the pulmonary artery.",pulmonary artery to the aorta.,C,Anatomy
"In relation to the rib, the corresponding intercostal nerve lies

A. deep to its superior border.
B. superficial to its superior border.
C. deep to its inferior border.
D. superficial to its inferior border.",deep to its inferior border.,C,Anatomy
"Which of the following represents Cushing's response?

A. Low blood pressure, tachycardia.
B. High blood pressure, tachycardia.
C. Low blood pressure, bradycardia.
D. High blood pressure, bradycardia.","High blood pressure, bradycardia.",D,Clinical Knowledge
"A pulse may be felt on a patient's face where the

A. facial artery crosses the mandible.
B. facial artery crosses the maxilla.
C. superficial temporal artery crosses the maxilla.
D. superficial temporal artery crosses the orbital rim.",facial artery crosses the mandible.,A,Anatomy
"A 14-year-old girl is brought to the physician after her mother learned that she began having sexual intercourse with various partners 1 month ago. She does not use condoms or other contraception. The mother is concerned about her behavior. The patient's parents separated 3 months ago. She had been an honor student and excelled in sports and leadership positions at school before the separation. Since the separation, however, she has become sullen, defiant, and rebellious. She has begun smoking cigarettes, disobeying her curfew, and being truant from school. This patient is most likely using which of the following defense mechanisms?

A. Acting out
B. Displacement
C. Projection
D. Reaction formation",Acting out,A,Professional Medicine
"Which of the following physiological characteristics is not important for success in endurance events such as the marathon race?

A. The ability to regulate body temperature.
B. The ability to supply oxygen to the exercising muscles.
C. The availability of body stores of carbohydrate.
D. Muscle ATP and phosphocreatine content.",Muscle ATP and phosphocreatine content.,D,Clinical Knowledge
"A 2-year-old boy is brought to the emergency department by his babysitter because of a 30-minute history of respiratory distress. The babysitter reports that she is 15 years old and has cared for the patient on numerous occasions during the past year. The child's mother, who is a single parent, is currently out of town for business but will return later tonight. The babysitter says, ""He has had a runny nose since I started babysitting yesterday, but this afternoon he awoke from a nap with a barking sound and he was breathing real heavy."" She does not know the child's prior health history, nor does she know if the boy takes any medications on a regular basis. The child looks tired and sits upright on the babysitter's lap. He is obviously comfortable with his caregiver. Vital signs are temperature 38.7°C (101.7°F), pulse 110/min, respirations 28/min and labored, and blood pressure 85/50 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 89%. Physical examination discloses inspiratory stridor. Neck is supple, tympanic membranes are normal, and there is a profuse nasal discharge. Examination of the pharynx discloses no abnormalities. Auscultation of the chest discloses equal air entry on both sides and no crackles. The remainder of the examination shows no abnormalities. Treatment with 40% oxygen via venturi mask and intravenous fluids is initiated. Despite continued supplemental oxygen and hydration, the child remains tachypneic and stridorous at rest. Oxygen saturation is now 93%. In addition to administering racemic epinephrine by nebulizer, which of the following is the most appropriate next step?

A. Intravenous aminophylline therapy
B. Intravenous antibiotic therapy
C. Intubation
D. Oral dexamethasone therapy",Oral dexamethasone therapy,D,Professional Medicine
"After being severely beaten and sustaining a gunshot wound to the abdomen, a 42-year-old woman undergoes resection of a perforated small bowel. During the operation, plastic reconstruction of facial fractures, and open reduction and internal fixation of the left femur are also done. Thirty-six hours postoperatively, she is awake but not completely alert. She is receiving intravenous morphine via a patient-controlled pump. She says that she needs the morphine to treat her pain, but she is worried that she is becoming addicted. She has no history of substance use disorder. She drinks one to two glasses of wine weekly. Which of the following initial actions by the physician is most appropriate?

A. Reassure the patient that her chance of becoming addicted to narcotics is minuscule
B. Maintain the morphine, but periodically administer intravenous naloxone
C. Switch the patient to oral acetaminophen as soon as she can take medication orally
D. Switch the patient to intramuscular lorazepam",Reassure the patient that her chance of becoming addicted to narcotics is minuscule,A,Professional Medicine
"What type of joint is the elbow?

A. Ball and socket joint.
B. Fused joint.
C. Synovial hinge joint.
D. Plain joint.",Synovial hinge joint.,C,Clinical Knowledge
"Emissary veins connect the intracranial venous sinuses to

A. veins draining the scalp.
B. veins draining the eye.
C. the pterygoid venous plexus.
D. All of the above areas.",All of the above areas.,D,Anatomy
"A previously healthy 40-year-old man is brought to the emergency department because of constant substernal chest pain for 12 hours that is exacerbated by coughing and inspiration. The pain is relieved with sitting up and leaning forward. There is no family history of heart disease. His temperature is 38°C (100.4°F), pulse is 120/min, and blood pressure is 110/60 mm Hg. The lungs are clear to auscultation. Cardiac examination shows distant heart sounds. An ECG shows diffuse ST-segment elevation in all leads. An x-ray of the chest shows normal findings. The most likely cause of his condition is injury to which of the following tissues?

A. Aortic intima
B. Esophageal sphincter
C. Myocardium
D. Pericardium",Pericardium,D,Professional Medicine
"The transcription of DNA to a molecule of messenger RNA occurs:

A. on the ribosomes.
B. in the cytosol.
C. in the nucleus.
D. only during cell division.",in the nucleus.,C,Clinical Knowledge
"Fertilization of an ovum by a spermatozoon occurs in which of the following structures?

A. Cervix
B. Fallopian tube
C. Ovary
D. Uterus",Fallopian tube,B,Anatomy
"A study is being conducted to assess mesothelioma in shipyard workers. A large shipyard firm has provided the asbestos exposure records of all employees during the past 50 years. The health insurer for the workers has provided claims data that documents all chest x-rays and diagnoses of mesothelioma among current workers and retirees. The study enrolled shipyard workers who were diagnosed with mesothelioma and shipyard workers who were not diagnosed with mesothelioma. All subjects in the study had to have chest xrays. Which of the following is the best rationale for selecting a comparison group that had chest x-rays?

A. Address confounding
B. Demonstrate causality
C. Minimize ascertainment bias
D. Reduce recall bias",Minimize ascertainment bias,C,Professional Medicine
"The best place to listen to the general heart sound with a stethoscope is the

A. fifth left intercostal space in the midclavicular line.
B. second left intercostal space one inch from the sternum.
C. third left rib at its junction with the sternum.
D. sternum midway between the sternal angle and xiphisternum.",fifth left intercostal space in the midclavicular line.,A,Anatomy
"Noradrenaline is the neurotransmitter between which of the two structures below?

A. parasympathetic pre- and post-ganglionic neurons
B. sympathetic pre- and post-ganglionic neurons
C. parasympathetic post-ganglionic neurons and target organs
D. sympathetic post-ganglionic neurons and target organs",sympathetic post-ganglionic neurons and target organs,D,Anatomy
"Collagen fibres:

A. are re-established in the first five days of wound healing.
B. provide a bridge across the surface of a wound.
C. take some time to re-establish.
D. are not needed if a wound is healing by primary intention.",take some time to re-establish.,C,Clinical Knowledge
"Which of the following is not a true statement?

A. Muscle glycogen is broken down enzymatically to glucose-1-phosphate
B. Elite endurance runners have a high proportion of Type I fibres in their leg muscles
C. Liver glycogen is important in the maintenance of the blood glucose concentration
D. Insulin promotes glucose uptake by all tissues in the body",Insulin promotes glucose uptake by all tissues in the body,D,Clinical Knowledge
"Which of the following structures accompany the oesophagus through the diaphragm?

A. The phrenic nerves
B. The splanchnic nerves
C. The sympathetic trunks
D. The vagus nerves",The vagus nerves,D,Anatomy
"The anatomic location of the spinal canal is

A. caudal
B. dorsal
C. frontal
D. transverse",dorsal,B,Anatomy
"Which of the following is true about the assessment of arm reflexes?

A. The root value of the biceps reflex is C5, C6
B. If no reflex is elicited when you tap a tendon it is documented as absent
C. The triceps tendon is struck in the antecubital fossa
D. Brisk finger jerks confirm a lower motor neurone lesion","The root value of the biceps reflex is C5, C6",A,Clinical Knowledge
"Complete the following: A variation of serial peak flow readings over a two week period are considered diagnostic in . . .

A. . . . asthma.
B. . . . COPD.
C. . . . pneumonia.
D. . . . tuberculosis.",. . . asthma.,A,Clinical Knowledge
"A 45-year-old female presents to the office for evaluation of unexplained elevations of her blood pressure. Paroxysmal episodes of headache, sweating, anxiety, nausea, and vomiting occur frequently. A CT scan reveals a left adrenal mass. Which of the following urinary assays will be most helpful in establishing this patient's diagnosis?

A. cortisol
B. glucose
C. sodium
D. vanillylmandelic acid",vanillylmandelic acid,D,Professional Medicine
"A 19-year-old woman who is a regular patient comes to the office for her annual physical examination and cervical cytology. She tells you that she has not had a menstrual period for the past 6 months. She is a college student who is in good health, has not had any medical illnesses or surgery, and has never been pregnant. She is currently sexually active and uses barrier contraception. She reports that during the past year her menses had become very irregular prior to complete cessation 6 months ago. She also notes that she has gained about 9 kg (20 lb) in the past 6 months and has had an increasing problem with acne and a troublesome growth of hair on her thighs and abdomen. She has been somewhat depressed about this, and her grades have declined. She reports that one of her sisters also had this problem prior to getting married. Physical examination shows a mildly obese young woman who has scattered facial acne, mild male pattern hair growth on the abdomen, and an essentially normal pelvic examination except for slight enlargement of the uterus and both ovaries. This patient's history is most consistent with which of the following?

A. Androgen-producing ovarian tumor
B. Cushing syndrome
C. Hypothyroidism
D. Polycystic ovarian syndrome",Polycystic ovarian syndrome,D,Professional Medicine
"Which one of the following statements is true with regard to intravenous drug administration?

A. IV administration of a drug will delay its action.
B. IV administration carries low risk of bacteraemia.
C. IV administration allows titration of a drug with its desired effect.
D. An intravenous cannula should never be used for both drug and fluid administration.",IV administration allows titration of a drug with its desired effect.,C,Clinical Knowledge
"A 24-year-old man is brought to the emergency department 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Physical examination shows numerous lacerations and ecchymoses over the face. His vision is normal. Ocular, facial, and lingual movements are intact. The gag reflex is present. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?

A. Foramen lacerum
B. Foramen ovale
C. Foramen rotundum
D. Foramen spinosum",Foramen ovale,B,Professional Medicine
"A 25-year-old female is admitted to the hospital for the evaluation of fainting spells, which have been occurring several times a day for 10 days. These occur without warning and are not associated with any injury. The patient is evaluated during one of these falls, manifesting no change in heart rate, blood pressure, or color. Neurologic examination findings are normal. The most likely diagnosis is

A. basilar migraine
B. cardioinhibitory syncope
C. malingering
D. vasodepressor syncope",malingering,C,Professional Medicine
"A patient is stabbed in the neck. You suspect damage to the accessory nerve in the posterior triangle. You would test nerve function by asking the patient to

A. extend their neck against resistance.
B. extend their neck without impairment.
C. lift their shoulders against resistance.
D. lift their shoulders without impairment.",lift their shoulders against resistance.,C,Anatomy
"A 32-year-old woman, gravida 2, para 1, at 8 weeks' gestation comes to the physician for her first prenatal visit. She delivered her first child spontaneously at 34 weeks' gestation; pregnancy was complicated by iron deficiency anemia. She has no other history of serious illness. Her blood pressure is 100/70 mm Hg. Examination shows no abnormalities. Ultrasonography shows a dichorionic-diamniotic twin intrauterine pregnancy consistent in size with an 8-week gestation. This patient is at increased risk for which of the following complications?

A. Abruptio placentae
B. Fetal chromosome abnormality
C. Hyperthyroidism
D. Preterm labor and delivery",Preterm labor and delivery,D,Professional Medicine
"The mucosa of the hard palate is

A. keratinised and has submucosa and minor salivary glands posterolaterally.
B. non-keratinised and has submucosa and minor salivary glands posteromedially.
C. keratinised and lacks submucosa and minor salivary glands.
D. non-keratinised and lacks submucosa and minor salivary glands.",keratinised and has submucosa and minor salivary glands posterolaterally.,A,Anatomy
"What is meant by the term 'passive movements'?

A. Movement with resistance, stretching at end of range.
B. Movement without resistance, stretching at end of range.
C. Movement with resistance, stopping at end of range.
D. Movement without resistance, stopping at end of range.","Movement without resistance, stopping at end of range.",D,Clinical Knowledge
"Embedded in the inner membrane of the mitochondrion are:

A. the enzymes of the tricarboxylic acid cycle (Krebs' cycle).
B. the components of the electron transport chain.
C. glycogen molecules.
D. triacylglycerol molecules.",the components of the electron transport chain.,B,Clinical Knowledge
"Bronchial breathing is characterized by

A. Inspiratory component louder and longer with a gap between expiration and inspiration
B. Expiratory component louder and longer with a gap between inspiration and expiration
C. Inspiratory component louder and longer with a gap between inspiration and expiration
D. Expiratory component louder and longer with a gap between expiration and inspiration",Expiratory component louder and longer with a gap between inspiration and expiration,B,Clinical Knowledge
"One of the most common reasons for stoma formation is:

A. irritable bowel syndrome.
B. haemorrhoids.
C. carcinoma.
D. bladder instability.",carcinoma.,C,Clinical Knowledge
"The following are features of Alzheimer's disease except:

A. short-term memory loss.
B. confusion.
C. poor attention.
D. drowsiness.",drowsiness.,D,Clinical Knowledge
"A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following:

A. 5
B. 50
C. 0.5
D. 500",500,D,Clinical Knowledge
"What is the minimum time a stretch should be held for?

A. 0-10 seconds.
B. 10-30 seconds.
C. 30-50 seconds.
D. 60 seconds.",10-30 seconds.,B,Clinical Knowledge
"The mucosa of the upper larynx is innervated by the

A. internal laryngeal nerve which is the afferent limb of the cough reflex.
B. external laryngeal nerve which is the afferent limb of the gag reflex.
C. internal laryngeal nerve which is the afferent limb of the gag reflex.
D. external laryngeal nerve which is the afferent limb of the cough reflex.",internal laryngeal nerve which is the afferent limb of the cough reflex.,A,Anatomy
"Women's world record performances have improved rapidly in recent years mainly because:

A. women have evolved a greater muscle mass.
B. women can now run faster than men.
C. women have started training at an earlier age.
D. more women are now engaged in sport.",more women are now engaged in sport.,D,Clinical Knowledge
"The trigger to initiate the contractile process in skeletal muscle is:

A. potassium binding to myosin.
B. calcium binding to tropomyosin.
C. ATP binding to the myosin cross bridges.
D. calcium binding to troponin.",calcium binding to troponin.,D,Clinical Knowledge
"A 6-month-old male Hispanic infant is brought to the office by his parents because of intermittent swelling of his right scrotum that is more pronounced when he cries. The swelling has never been red or ""stuck."" Vital signs are normal. A right inguinal hernia is confirmed on physical examination. In discussing repair of the hernia with the parents, it is most appropriate to inform them of which of the following?

A. Herniorrhaphy can be postponed until age 2 years because many hernias close spontaneously
B. Herniorrhaphy can be postponed until age 12 years because oligospermia does not develop before age 12
C. Herniorrhaphy should be scheduled at the earliest convenient time
D. Herniorrhaphy should be scheduled as an emergency operation",Herniorrhaphy should be scheduled at the earliest convenient time,C,Professional Medicine
"Which of the following options completes the following statement? ""The right atrioventricular valve…""

A. is a semilunar valve
B. is prevented from everting by papillary muscles.
C. is open during systole.
D. prevents blood returning from the pulmonary trunk as the heart relaxes.",is prevented from everting by papillary muscles.,B,Anatomy
"Which of the following factors can affect enzyme activity?

A. Temperature.
B. pH.
C. The presence of certain metal ions.
D. All of the above.",All of the above.,D,Clinical Knowledge
"Patients with which of the following diseases are treated with injections of vitamin B-12?

A. Bell's palsy
B. Crohn's disease
C. Pernicious anemia
D. Graves' disease",Pernicious anemia,C,Anatomy
"Which of the following is true in peripheral neuropathy?

A. Sensory loss is demonstrated in a stocking distribution
B. The tone is increased bilaterally in the legs
C. Reflexes are very brisk with reinforcement
D. Weakness is more marked proximally than distally",Sensory loss is demonstrated in a stocking distribution,A,Clinical Knowledge
"Which of the following is located beneath the diaphragm in the left upper quadrant of the abdominal cavity?

A. Appendix
B. Duodenum
C. Spleen
D. Pancreas",Spleen,C,Anatomy
"In hypovolaemic shock, what percentage of blood can be lost before it is reflected in changes in heart rate and blood pressure?

A. 5%
B. 10%
C. 20%
D. 30%",30%,D,Clinical Knowledge
"A 34-year-old woman comes to the office because of a 3- to 4-week history of swelling of her legs and a 9-kg (20-lb) weight gain. Medical history is significant for sickle cell trait and mild anemia. She has been taking 800 mg of ibuprofen three times daily for Achilles tendinitis diagnosed 1 month ago. She has smoked five cigarettes daily for the past 15 years, and she drinks one to five beers on weekends. She experimented with cocaine briefly 16 years ago, but she has never used intravenous drugs. She has been in a monogamous sexual relationship for the past 12 years. Today, vital signs are temperature 37.2°C (99.0°F), pulse 88/min, respirations 16/min, and blood pressure 145/95 mm Hg. Physical examination discloses periorbital edema but no jugular venous distention. Lungs are clear to auscultation. Cardiac examination discloses an S1 and S2 without murmurs or gallops. Abdominal examination discloses bulging flanks and shifting dullness to percussion. Examination of the lower extremities shows pitting edema from the mid thigh to the ankles bilaterally. Results of which of the following studies are most likely to be abnormal in this patient?

A. HIV antibody study
B. Serum B-type natriuretic peptide concentration
C. Toxicology screening of the urine
D. Urine protein concentration",Urine protein concentration,D,Professional Medicine
"A healthy 2-year-old girl is brought to the office for a routine well-child visit. The child was weaned at 6 months of age and began to walk at 10 months of age. On physical examination, she has mild bowlegs (10-degree genu varum). Which of the following is the most appropriate management to recommend at this time?

A. Increased intake of vitamin D
B. A special exercise program
C. Surgical correction
D. No treatment is needed at this time",No treatment is needed at this time,D,Professional Medicine
"Which of these combinations of clinical features is most suggestive of mixed mitral valve disease with a predominance of mitral regurgitation?

A. Displaced apex beat; soft first heart sound; pan-systolic murmur; short mid-diastolic murmur
B. Irregularly, irregular pulse; displaced apex beat; ejection systolic murmur; short mid-diastolic murmur
C. Displaced apex beat; normal first heart sound; pan-systolic murmur; long mid-diastolic murmur
D. Tapping apex beat; loud first heart sound; pan-systolic murmur; long mid-diastolic murmur",Displaced apex beat; soft first heart sound; pan-systolic murmur; short mid-diastolic murmur,A,Clinical Knowledge
"Wound drainage should be assessed for volume and consistency:

A. each time post-operative observations are undertaken.
B. daily.
C. every hour.
D. only when the wound dressing is changed.",each time post-operative observations are undertaken.,A,Clinical Knowledge
"A 34-year-old white woman comes to the emergency department because of a persistent dull headache for the past 3 days. She has been taking acetaminophen without relief. She says, ""I haven't slept in 3 days and I am having trouble focusing at work."" There is no history of trauma and she takes no medications. She has smoked one pack of cigarettes daily for 14 years but does not drink alcoholic beverages. Vital signs are temperature 37.5°C (99.5°F), pulse 86/min, respirations 19/min, and blood pressure 182/100 mm Hg. Examination of the head shows no abnormalities. Pupils are equal, round, and reactive to light; there is mild photophobia. Funduscopic examination is normal. A serous effusion is noted on examination of the left tympanic membrane. Neck is stiff with painful flexion; when the patient's neck is flexed forward, she reports and electric shock sensation. Mild expiratory wheezes are heard on auscultation of the chest. A midsystolic click is heard best at the left sternal border; there are no murmurs or gallops. Abdominal examination shows striae, but is otherwise noncontributory. Examination of the lower extremities shows varicosities bilaterally and 1+ edema; muscle strength is 4/5. Neurologic examination shows no other abnormalities. Which of the following physical findings is most indicative of the need for immediate further evaluation?

A. Abdominal striae
B. Expiratory wheezes
C. Midsystolic click
D. Neck stiffness",Neck stiffness,D,Professional Medicine
"Food is prevented from entering the larynx during the pharyngeal phase of swallowing by

A. constriction of the laryngeal entrance.
B. upward movement of the epiglottis.
C. downward movement of the larynx.
D. increase in respiratory rate.",constriction of the laryngeal entrance.,A,Anatomy
"If you run your finger down the anterior midline of a patient's extended neck from chin to sternal notch, you should be able to palpate, in order, the

A. hyoid bone, cricoid cartilage, thyroid cartilage.
B. thyroid cartilage, cricoid cartilage, hyoid bone.
C. hyoid bone, thyroid cartilage, cricoid cartilage.
D. thyroid cartilage, hyoid bone, cricoids cartilage.","hyoid bone, thyroid cartilage, cricoid cartilage.",C,Anatomy
"The muscles of the soft palate are innervated by branches of the

A. trigeminal and glossopharyngeal nerves.
B. facial and glossopharyngeal nerves.
C. trigeminal and vagus nerves.
D. facial and vagus nerves.",trigeminal and vagus nerves.,C,Anatomy
"A successful infraorbital nerve block will produce anaesthesia of the

A. maxillary anterior teeth.
B. maxillary anterior teeth and their labial gingivae.
C. maxillary anterior teeth, their labial gingivae and the upper lip.
D. maxillary anterior teeth, their labial gingivae, the upper lip and anterior hard palate.","maxillary anterior teeth, their labial gingivae and the upper lip.",C,Anatomy
"At which of the following locations does bile enter the digestive tract?

A. Gastroesophageal sphincter
B. Duodenum
C. Ileocecum
D. Jejunum",Duodenum,B,Anatomy
"Which of the following is not a category used to classify patients according to the Glasgow Coma Scale?

A. Eye opening.
B. Verbal response.
C. Best motor response.
D. Pupil response.",Pupil response.,D,Clinical Knowledge
"Eccrine and apocrine glands are both types of:

A. sweat glands.
B. salivary glands.
C. chemoreceptors.
D. tear ducts.",sweat glands.,A,Clinical Knowledge
"In what situation are closed pouches applied?

A. The patient has a semi-formed or liquid output.
B. The patient has a colostomy.
C. In the immediate post-operative period.
D. The patient has a urostomy.",The patient has a colostomy.,B,Clinical Knowledge
"Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?

A. More prominent in expiration
B. Alters with coughing
C. No pain over the area
D. Clubbing",More prominent in expiration,A,Clinical Knowledge
"A 72-year-old woman comes to the physician because of a 2-month history of painless swelling of both ankles. She also reports shortness of breath with exertion and when lying down. She has been awakened from sleep by shortness of breath. She has not had chest pain. Her pulse is 96/min and regular, respirations are 24/min, and blood pressure is 128/76 mm Hg. Jugular venous pressure is 15 cm H2O. Pulmonary examination shows crackles at both lung bases. Cardiac examination shows a regular rhythm and a soft S3. A grade 3/6 holosystolic murmur is heard best at the apex, radiating to the axilla. There is 2+ pitting edema of the lower legs and ankles. Which of the following is most likely to confirm the diagnosis?

A. Measurement of serum troponin I concentration
B. ECG
C. Exercise stress test
D. Echocardiography",Echocardiography,D,Professional Medicine
"The head of the sixth rib articulates with

A. The inferior articular facet of T5 and superior articular facet of T6.
B. The inferior articular demifacet of T5 and superior articular facet of T6.
C. The inferior articular demifacet of T5 and the superior articular demifacet of T6.
D. The superior and inferior demifacets of T6.",The inferior articular demifacet of T5 and the superior articular demifacet of T6.,C,Anatomy
"An obese 33-year-old woman has had four 12-hour episodes of severe, sharp, penetrating pain in the right upper quadrant of the abdomen associated with vomiting but no fever. She has no diarrhea, dysuria, or jaundice and is asymptomatic between episodes. There is slight tenderness to deep palpation in the right upper quadrant. Which of the following is the most appropriate next step in diagnosis?

A. Supine and erect x-rays of the abdomen
B. Upper gastrointestinal series
C. Ultrasonography of the upper abdomen
D. CT scan of the abdomen",Ultrasonography of the upper abdomen,C,Professional Medicine
"A ""dished face"" profile is often associated with

A. a protruding mandible due to reactivation of the condylar cartilage by acromegaly.
B. a recessive maxilla due to failure of elongation of the cranial base.
C. an enlarged frontal bone due to hydrocephaly.
D. defective development of the maxillary air sinus.",a recessive maxilla due to failure of elongation of the cranial base.,B,Anatomy
"A 53-year-old man comes to the physician because of a 6-month history of intermittent blood in his stool. He has had no pain with defecation. Physical examination shows a 1-cm, visible anal mass located below the dentate line. A biopsy of the mass is scheduled. If the mass if found to be malignant, it is most appropriate to evaluate which of the following lymph nodes for possible metastasis?

A. Internal iliac
B. Popliteal
C. Sacral
D. Superficial inguinal",Superficial inguinal,D,Professional Medicine
"The activity of creatine kinase is:

A. increased when intracellular ADP rises.
B. increased when muscle pH falls below 6.9.
C. always lower in Type II fibres than Type I fibres.
D. increased after a period of endurance training.",increased when intracellular ADP rises.,A,Clinical Knowledge
"A 29-year-old woman is prescribed carbamazepine for trigeminal neuralgia. She has a strong family history of osteoporosis. As a result, the physician also advises her to increase her intake of vitamin D. The most likely reason for this recommendation is that carbamazepine may affect which of the following pharmacokinetic processes?

A. Absorption
B. Distribution
C. Excretion
D. Metabolism",Metabolism,D,Professional Medicine
"An 87-year-old woman is brought to the physician by her son because of progressive memory loss over the past 2 years. Her son says that she repeats herself frequently and has been forgetting to take her routine medications. She takes hydrochlorothiazide for mild systolic hypertension and levothyroxine for hypothyroidism. She had vulvar cancer 10 years ago treated with wide excision. Her blood pressure is 138/78 mm Hg. Physical examination is within normal limits for her age. Mini-Mental State Examination score is 23/30. Laboratory studies, including serum vitamin B12 (cyanocobalamin), thyroxine (T4), and thyroid-stimulating hormone concentrations, are within normal limits. A CT scan of the head shows mild volume loss. Which of the following is the most appropriate pharmacotherapy?

A. β-Adrenergic agonist
B. Cholinesterase inhibitor
C. Dopamine agonist
D. Prednisone",Cholinesterase inhibitor,B,Professional Medicine
"For patients with asthma, how many times a day should a peak flow reading be taken?

A. Daily.
B. Twice a day.
C. Three times a week.
D. Once a week.",Twice a day.,B,Clinical Knowledge
"A 27-year-old man comes to the office with his wife because of a recent episode of loss of muscle control. He says, ""I was at a reception, someone told a joke, and when I laughed, my legs collapsed!"" His wife tells you that he recovered in a few seconds and he did not lose consciousness. He has a long history of sleepiness and he is able to go to sleep quickly. He usually awakens feeling refreshed after a short nap. He has no history of similar episodes or hallucinations. There is no family history of similar problems. Vital signs are normal. Physical examination shows no abnormalities. Which of the following is the most likely diagnosis?

A. Narcolepsy
B. Primary hypersomnia
C. A seizure disorder
D. Sleep paralysis",Narcolepsy,A,Professional Medicine
"On which surfaces of the teeth is dental plaque most likely to accumulate in the mouth of a patient with poor oral hygiene?

A. The palatal surfaces of the upper molars and lingual surfaces of the lower incisors.
B. The buccal surfaces of the upper molars and lingual surfaces of the lower incisors.
C. The palatal surfaces of the upper molars and labial surfaces of the lower incisors.
D. The buccal surfaces of the upper molars and labial surfaces of the lower incisors.",The buccal surfaces of the upper molars and lingual surfaces of the lower incisors.,B,Anatomy
"Which of the following cavities are separated by the diaphragm?

A. Abdominal and pelvic
B. Cranial and spinal
C. Thoracic and abdominal
D. Pericardial and pleural",Thoracic and abdominal,C,Anatomy
"How many 'true' movements are available at the hip?

A. 4
B. 5
C. 6
D. 7",6,C,Clinical Knowledge
"Proprioceptive nerve endings in synovial joints are located in

A. articular cartilage and synovial membrane.
B. synovial membrane and capsule.
C. capsule and ligaments.
D. ligaments and articular discs.",ligaments and articular discs.,D,Anatomy
"Which of the following structures is derived from ectomesenchyme?

A. Motor neurons
B. Skeletal muscles
C. Melanocytes
D. Sweat glands",Melanocytes,C,Anatomy
"A 29-year-old male presents to the office with the complaints of a pounding heart, poor sleep, and a generalized feeling of restlessness. He relocated 2 months ago to take a promotion and has found himself unable to concentrate on his new duties. He worries about his ability to adapt to his increase in responsibility at work and states that he has called in sick 3 days within the past 2 weeks. The most likely diagnosis is

A. adjustment disorder with anxious mood
B. generalized anxiety disorder
C. major depressive disorder, single episode, moderate
D. obsessive-compulsive personality disorder",adjustment disorder with anxious mood,A,Professional Medicine
"The seventh cranial nerve supplies

A. taste buds on the posterior third of the tongue.
B. muscles of the soft palate.
C. muscles of the lower lip.
D. the parotid salivary gland.",muscles of the lower lip.,C,Anatomy
"A 27-year-old woman, gravida 2, para 1, at 12 weeks' gestation comes to the physician for a prenatal visit. She feels well. Pregnancy and delivery of her first child were uncomplicated. Medications include folic acid and a multivitamin. Her temperature is 37.2°C (99°F), and blood pressure is 108/60 mm Hg. Pelvic examination shows a uterus consistent in size with a 12-week gestation. Urine dipstick shows leukocyte esterase; urinalysis shows WBCs and rare gram-negative rods. Which of the following is the most appropriate next step in management?

A. Recommend drinking 8 oz of cranberry juice daily
B. Oral amoxicillin therapy
C. Oral metronidazole therapy
D. Intravenous cefazolin therapy",Oral amoxicillin therapy,B,Professional Medicine
"Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?

A. Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative).
B. Blood type B (rhesus positive) and blood type O (rhesus positive).
C. Blood type B (rhesus negative) and blood type O (rhesus negative).
D. Blood type B (rhesus negative) only.",Blood type B (rhesus negative) and blood type O (rhesus negative).,C,Clinical Knowledge
"Which statement concerning the atrioventricular bundle is correct?

A. It is formed of autonomic nerve processes and is the only electrical connection between the atria and the ventricles.
B. It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles
C. It is formed of autonomic nerve processes and forms one of several electrical connections between the atria and ventricles.
D. It is formed of Purkinje fibres and forms one of several electrical connections between the atria and ventricles.",It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles,B,Anatomy
"Prosthetic groups are:

A. required by all enzymes in the cell.
B. loosely bound to enzymes via hydrogen bonds.
C. sites on the enzyme molecule that permit allosteric modification of enzyme activity.
D. tightly bound to enzymes and are required for their activity.",tightly bound to enzymes and are required for their activity.,D,Clinical Knowledge
"The ATP store in muscle can only supply energy in high intensity exercise for about:

A. 2 milliseconds.
B. 2 seconds.
C. 10 seconds.
D. 20 seconds.",2 seconds.,B,Clinical Knowledge
